image_path,gt_bucket,n_visible_fruitbodies,n_boxes_ok,n_fn_missed,n_fp_extra,notes
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\317297777_573338340.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\314710713_568441485.jpg,INEDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389859895_714169654.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\68909882_111697114.jpg,TOXIC,6,6,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\168360388_291763905.jpg,EDIBLE,2,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\320518673_579513618.jpg,TOXIC,1,2,0,1,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\317432598_573595597.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389568462_713598918.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\139521808_238652798.jpg,TOXIC,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\390671689_715754465.jpg,EDIBLE,1,2,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\374473545_684471650.jpg,TOXIC,4,3,1,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\382671930_700317798.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\389551025_713563846.jpg,EDIBLE,1,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\391926156_718190080.jpg,INEDIBLE,6,6,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\384901102_704611895.jpg,INEDIBLE,1,3,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\385397707_705547716.jpg,EDIBLE,1,1,0,0,
E:\Kiril_Horobets\mushroom_data\mushroom_final\images\test\392178098_718682732.jpg,TOXIC,3,4,0,0,
