index,detect_ms,n_detections,scene_locked,battery_c
1,160.56,1,false,31.20
2,159.03,1,false,31.20
3,174.07,1,false,31.20
4,157.58,1,false,31.20
5,168.17,1,false,31.20
6,144.47,1,false,31.20
7,166.37,1,false,31.20
8,156.82,1,false,31.20
9,167.86,1,false,31.20
10,158.84,1,false,31.20
11,146.98,1,false,31.20
12,144.70,1,false,31.20
13,162.27,1,true,31.20
14,156.31,1,true,31.20
15,156.20,1,true,31.20
16,160.63,1,true,31.20
17,146.39,1,true,31.20
18,154.10,1,true,31.20
19,171.88,1,true,31.20
20,138.73,1,true,31.20
21,144.26,1,true,31.20
22,137.38,1,true,31.20
23,137.77,1,true,31.20
24,129.10,1,true,31.20
25,130.21,1,true,31.20
26,151.48,1,true,31.20
27,143.04,1,true,31.20
28,156.65,1,true,31.20
29,142.43,1,true,31.20
30,177.18,1,true,31.20
31,166.75,1,true,31.20
32,161.01,1,true,31.20
33,166.81,1,true,31.20
34,166.62,1,true,31.20
35,170.96,1,true,31.20
36,156.58,1,true,31.20
37,169.49,1,true,31.20
38,160.55,1,true,31.20
39,157.89,1,true,31.20
40,162.84,1,true,31.20
41,163.72,1,true,31.20
42,167.77,1,true,31.20
43,158.42,1,true,31.20
44,171.52,1,true,31.20
45,163.58,1,true,31.20
46,166.75,1,true,31.20
47,154.11,1,true,31.20
48,144.48,1,true,31.20
49,169.95,1,true,31.20
50,173.27,1,true,31.20
51,162.98,1,true,31.20
52,172.12,1,true,31.20
53,158.65,1,true,31.20
54,160.23,1,true,31.20
55,158.97,1,true,31.20
56,164.95,1,true,31.20
57,172.48,1,true,31.20
58,167.81,1,true,31.20
59,164.33,1,true,31.20
60,161.91,1,true,31.20
61,159.70,1,true,31.20
62,157.59,1,true,31.20
63,161.31,1,true,31.20
64,172.78,1,true,31.20
65,170.24,1,true,31.20
66,163.29,1,true,31.20
67,149.67,1,true,31.20
68,149.12,1,true,31.20
69,165.31,1,true,31.20
70,164.49,1,true,31.20
71,156.34,1,true,31.20
72,162.21,1,true,31.20
73,167.95,1,true,31.20
74,168.99,1,true,31.20
75,168.52,1,true,31.20
76,152.94,1,true,31.20
77,174.47,1,true,31.20
78,170.25,1,true,31.20
79,161.54,1,true,31.20
80,158.25,1,true,31.20
81,162.25,1,true,31.20
82,162.40,1,true,31.20
83,169.88,1,true,31.20
84,156.24,1,true,31.20
